tableIdx,columnIdx,columns_name,columns_name_kr,columns_type,columns_desc,timestamp,standard_yn
1432,17,before_usedate,이전 기기 최초 사용 시점,datetime,first_usedate 정렬 기준 (현재 기기를 제외한) 가장 최신 기기의 first_usedate사용,2020-05-05 07:53:19.193,N
1432,18,cycle_datediff,기기 변경 날짜 간의 차이,long,"이전에 사용한 기기와 현재 사용하는 기기 기준(first_usedate, before_usedate) 두 날짜 간의 차이",2020-05-05 07:53:19.193,N
1432,19,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2020-05-05 07:53:19.193,N
1433,10,weekend_tag,"주말 - 주행성, 야행성 태깅",string,"morning_weekend, night_weekend 중 높은 수치에 따라 판별  => a morning lark(주행성), a night owl(야행성), a hummingbird(동률)",2020-05-05 07:53:41.613,N
1433,11,morning_weekday,주중 오전 접속 2주 간 총계,long,(주중) 오전 8시~오후 8시 이전까지 2주간 접속한 수의 합,2020-05-05 07:53:41.613,N
1433,12,night_weekday,주중 오후 접속 2주 간 총계,long,(주중)오후 8시~오전 8시 이전까지 2주간 접속한 수의 합,2020-05-05 07:53:41.613,N
1433,13,morning_weekend,주말 오전 접속 2주 간 총계,long,(주말)오전 8시~오후 8시 이전까지 2주간 접속한 수의 합,2020-05-05 07:53:41.613,N
1433,14,night_weekend,주말 오후 접속 2주 간 총계,long,(주중)오후 8시~오전 8시 이전까지 2주간 접속한 수의 합,2020-05-05 07:53:41.613,N
1433,15,loadingtime,데이터 적재 일시,datetime,데이터 적재 일시,2020-05-05 07:53:41.613,N
1436,5,serviceareaid,게임계정 구분자,string,"accountno로 이용자를 찾기 위한 보조 식별자, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:54:29.247,N
1436,6,characterid,캐릭터 ID,string,"캐릭터를 식별하는 유니크한(UID) 값, PC회원(nexonsn) 기준 집계여서 !notapplicable@로 입력",2020-05-05 07:54:29.247,N
1785,0,sdate,집계일,date,집계 일자 (yyyy-MM-dd),2021-03-25 06:51:02.197,N
1785,1,timezone,집계 시간대,string,"집계 시간대 (KST, UTC 등)",2021-03-25 06:51:02.197,N
